,id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7
3286,1435169,55891,2021-10-12 17:49:41,0,0,0,0,0,0,0,0
3287,1435213,55891,2021-10-12 17:50:41,0,0,0,0,0,0,0,0
3288,1435257,55891,2021-10-12 17:51:41,0,0,0,0,0,0,0,0
3289,1435301,55891,2021-10-12 17:52:41,0,0,0,0,0,0,0,0
3290,1435345,55891,2021-10-12 17:53:41,0,0,0,0,0,0,0,0
3291,1435389,55891,2021-10-12 17:54:41,0,0,0,0,0,0,0,0
3292,1435433,55891,2021-10-12 17:55:41,0,0,0,0,0,0,0,0
3293,1435477,55891,2021-10-12 17:56:41,0,0,0,0,0,0,0,0
3294,1435521,55891,2021-10-12 17:57:41,0,0,0,0,0,0,0,0
3295,1435565,55891,2021-10-12 17:58:41,0,0,0,0,0,0,0,0
3296,1435609,55891,2021-10-12 17:59:41,0,0,0,0,0,0,0,0
3297,1435653,55891,2021-10-12 18:00:41,0,0,0,0,0,0,0,0
3298,1435693,55891,2021-10-12 18:01:41,0,0,0,0,0,0,0,0
3299,1435737,55891,2021-10-12 18:02:41,0,0,0,0,0,0,0,0
3300,1435781,55891,2021-10-12 18:03:41,0,0,0,0,0,0,0,0
3301,1435825,55891,2021-10-12 18:04:41,0,0,0,0,0,0,0,0
3302,1435869,55891,2021-10-12 18:05:41,0,0,0,0,0,0,0,0
3303,1435913,55891,2021-10-12 18:06:41,0,0,0,0,0,0,0,0
3304,1435957,55891,2021-10-12 18:07:41,0,0,0,0,0,0,0,0
3305,1436001,55891,2021-10-12 18:08:41,0,0,0,0,0,0,0,0
3306,1436045,55891,2021-10-12 18:09:41,0,0,0,0,0,0,0,0
3307,1436089,55891,2021-10-12 18:10:41,0,0,0,0,0,0,0,0
3308,1436133,55891,2021-10-12 18:11:41,0,0,0,0,0,0,0,0
3309,1436177,55891,2021-10-12 18:12:41,0,0,0,0,0,0,0,0
3310,1436221,55891,2021-10-12 18:13:41,0,0,0,0,0,0,0,0
3311,1436265,55891,2021-10-12 18:14:41,0,0,0,0,0,0,0,0
3312,1436309,55891,2021-10-12 18:15:41,0,0,0,0,0,0,0,0
3313,1436353,55891,2021-10-12 18:16:41,0,0,0,0,0,0,0,0
3314,1436397,55891,2021-10-12 18:17:41,0,0,0,0,0,0,0,0
3315,1436441,55891,2021-10-12 18:18:41,0,0,0,0,0,0,0,0
3316,1436485,55891,2021-10-12 18:19:41,0,0,0,0,0,0,0,0
3317,1436529,55891,2021-10-12 18:20:41,0,0,0,0,0,0,0,0
3318,1436573,55891,2021-10-12 18:21:41,0,0,0,0,0,0,0,0
3319,1436617,55891,2021-10-12 18:22:41,0,0,0,0,0,0,0,0
3320,1436661,55891,2021-10-12 18:23:41,0,0,0,0,0,0,0,0
3321,1436705,55891,2021-10-12 18:24:41,0,0,0,0,0,0,0,0
3322,1436749,55891,2021-10-12 18:25:41,0,0,0,0,0,0,0,0
3323,1436793,55891,2021-10-12 18:26:41,0,0,0,0,0,0,0,0
3324,1436837,55891,2021-10-12 18:27:41,0,0,0,0,0,0,0,0
3325,1436881,55891,2021-10-12 18:28:41,0,0,0,0,0,0,0,0
3326,1436925,55891,2021-10-12 18:29:41,0,0,0,0,0,0,0,0
3327,1436969,55891,2021-10-12 18:30:41,0,0,0,0,0,0,0,0
3328,1437013,55891,2021-10-12 18:31:41,0,0,0,0,0,0,0,0
3329,1437057,55891,2021-10-12 18:32:41,0,0,0,0,0,0,0,0
3330,1437101,55891,2021-10-12 18:33:41,0,0,0,0,0,0,0,0
3331,1437145,55891,2021-10-12 18:34:41,0,0,0,0,0,0,0,0
3332,1437189,55891,2021-10-12 18:35:41,0,0,0,0,0,0,0,0
3333,1437233,55891,2021-10-12 18:36:41,0,0,0,0,0,0,0,0
3334,1437277,55891,2021-10-12 18:37:41,0,0,0,0,0,0,0,0
3335,1437321,55891,2021-10-12 18:38:41,0,0,0,0,0,0,0,0
3336,1437365,55891,2021-10-12 18:39:41,0,0,0,0,0,0,0,0
3337,1437409,55891,2021-10-12 18:40:41,0,0,0,0,0,0,0,0
3338,1437453,55891,2021-10-12 18:41:41,0,0,0,0,0,0,0,0
3339,1437497,55891,2021-10-12 18:42:41,0,0,0,0,0,0,0,0
3340,1437541,55891,2021-10-12 18:43:41,0,0,0,0,0,0,0,0
3341,1437585,55891,2021-10-12 18:44:41,0,0,0,0,0,0,0,0
3342,1437629,55891,2021-10-12 18:45:41,0,0,0,0,0,0,0,0
3343,1437673,55891,2021-10-12 18:46:41,0,0,0,0,0,0,0,0
3344,1437717,55891,2021-10-12 18:47:41,0,0,0,0,0,0,0,0
3345,1437761,55891,2021-10-12 18:48:41,0,0,0,0,0,0,0,0
3346,1437805,55891,2021-10-12 18:49:41,0,0,0,0,0,0,0,0
3347,1437849,55891,2021-10-12 18:50:41,0,0,0,0,0,0,0,0
3348,1437893,55891,2021-10-12 18:51:41,0,0,0,0,0,0,0,0
3349,1437937,55891,2021-10-12 18:52:41,0,0,0,0,0,0,0,0
3350,1437981,55891,2021-10-12 18:53:41,0,0,0,0,0,0,0,0
3351,1438025,55891,2021-10-12 18:54:41,0,0,0,0,0,0,0,0
3352,1438069,55891,2021-10-12 18:55:41,0,0,0,0,0,0,0,0
3353,1438113,55891,2021-10-12 18:56:41,0,0,0,0,0,0,0,0
3354,1438157,55891,2021-10-12 18:57:41,0,0,0,0,0,0,0,0
3355,1438201,55891,2021-10-12 18:58:41,0,0,0,0,0,0,0,0
3356,1438245,55891,2021-10-12 18:59:41,0,0,0,0,0,0,0,0
3357,1438289,55891,2021-10-12 19:00:41,0,0,0,0,0,0,0,0
3358,1438333,55891,2021-10-12 19:01:41,0,0,0,0,0,0,0,0
3359,1438377,55891,2021-10-12 19:02:41,0,0,0,0,0,0,0,0
3360,1438421,55891,2021-10-12 19:03:41,0,0,0,0,0,0,0,0
3361,1438461,55891,2021-10-12 19:04:41,0,0,0,0,0,0,0,0
3362,1438505,55891,2021-10-12 19:05:41,0,0,0,0,0,0,0,0
3363,1438549,55891,2021-10-12 19:06:41,0,0,0,0,0,0,0,0
