id,sensorId,timestamp,chan_0,chan_1
4053177,57226,2021-12-22T20:21:32.000Z,0,0
4053197,57226,2021-12-22T20:22:32.000Z,0,0
4053227,57226,2021-12-22T20:23:48.000Z,0,0
4053247,57226,2021-12-22T20:24:48.000Z,0,0
4053267,57226,2021-12-22T20:25:48.000Z,0,0
4053287,57226,2021-12-22T20:26:48.000Z,0,0
4053307,57226,2021-12-22T20:27:48.000Z,0,0
4053327,57226,2021-12-22T20:28:48.000Z,0,0
4053347,57226,2021-12-22T20:29:48.000Z,0,0
4053367,57226,2021-12-22T20:30:48.000Z,0,0
4053387,57226,2021-12-22T20:31:48.000Z,0,0
4053407,57226,2021-12-22T20:32:48.000Z,0,0
4053427,57226,2021-12-22T20:33:52.000Z,0,0
4053447,57226,2021-12-22T20:34:48.000Z,0,0
4053467,57226,2021-12-22T20:35:48.000Z,0,0
4053487,57226,2021-12-22T20:36:48.000Z,0,0
4053507,57226,2021-12-22T20:37:48.000Z,0,0
4053527,57226,2021-12-22T20:38:48.000Z,0,0
4053547,57226,2021-12-22T20:39:48.000Z,0,0
4053567,57226,2021-12-22T20:40:48.000Z,0,0
4053587,57226,2021-12-22T20:41:48.000Z,0,0
4053607,57226,2021-12-22T20:42:48.000Z,0,0
4053627,57226,2021-12-22T20:43:48.000Z,0,0
4053647,57226,2021-12-22T20:44:48.000Z,0,0
4053667,57226,2021-12-22T20:45:48.000Z,0,0
4053687,57226,2021-12-22T20:46:48.000Z,0,0
4053729,57226,2021-12-22T20:49:05.000Z,0,0
4053749,57226,2021-12-22T20:50:05.000Z,0,0
4053769,57226,2021-12-22T20:51:05.000Z,0,0
4053789,57226,2021-12-22T20:52:05.000Z,0,0
4053845,57226,2021-12-22T20:55:27.000Z,0,0
4053951,57226,2021-12-22T21:00:57.000Z,0,0
4053971,57226,2021-12-22T21:01:57.000Z,0,0
4053991,57226,2021-12-22T21:02:57.000Z,0,0
4054011,57226,2021-12-22T21:03:57.000Z,0,0
4054031,57226,2021-12-22T21:04:57.000Z,0,0
4054051,57226,2021-12-22T21:05:57.000Z,0,0
4054071,57226,2021-12-22T21:06:57.000Z,0,0
4054091,57226,2021-12-22T21:07:57.000Z,0,0
4054111,57226,2021-12-22T21:08:57.000Z,0,0
4054131,57226,2021-12-22T21:09:57.000Z,0,0
4054151,57226,2021-12-22T21:10:57.000Z,0,0
4054171,57226,2021-12-22T21:11:57.000Z,0,0
4054191,57226,2021-12-22T21:12:57.000Z,0,0
4054211,57226,2021-12-22T21:13:57.000Z,0,0
