id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5
7310193,57226,2022-05-04T22:16:33.000Z,0,0,0,0,0,0
7310225,57226,2022-05-04T22:17:33.000Z,0,0,0,0,0,0
7310257,57226,2022-05-04T22:18:33.000Z,0,0,0,0,0,0
7310289,57226,2022-05-04T22:19:33.000Z,0,0,0,0,1257,75
7310321,57226,2022-05-04T22:20:33.000Z,0,0,0,0,11,0
7310353,57226,2022-05-04T22:21:33.000Z,0,0,0,0,873,52
7310385,57226,2022-05-04T22:22:33.000Z,0,0,0,0,0,0
7310417,57226,2022-05-04T22:23:33.000Z,0,0,0,0,0,0
7310449,57226,2022-05-04T22:24:33.000Z,0,0,0,0,0,0
7310481,57226,2022-05-04T22:25:33.000Z,0,0,0,0,0,0
7310513,57226,2022-05-04T22:26:33.000Z,0,0,0,0,0,0
7310545,57226,2022-05-04T22:27:33.000Z,0,0,0,0,0,0
7310577,57226,2022-05-04T22:28:33.000Z,0,0,0,0,0,0
7310609,57226,2022-05-04T22:29:33.000Z,0,0,0,0,0,0
7310641,57226,2022-05-04T22:30:33.000Z,0,0,0,0,0,0
7310673,57226,2022-05-04T22:31:33.000Z,0,0,0,0,0,0
7310705,57226,2022-05-04T22:32:33.000Z,0,0,0,0,0,0
7310737,57226,2022-05-04T22:33:33.000Z,0,0,0,0,0,0
7310769,57226,2022-05-04T22:34:33.000Z,0,0,0,0,0,0
7310801,57226,2022-05-04T22:35:33.000Z,0,0,0,0,0,0
7310833,57226,2022-05-04T22:36:33.000Z,0,0,0,0,0,0
7310865,57226,2022-05-04T22:37:33.000Z,0,0,0,0,0,0
7310897,57226,2022-05-04T22:38:33.000Z,0,0,0,0,0,0
7310929,57226,2022-05-04T22:39:33.000Z,0,0,0,0,0,0
7310961,57226,2022-05-04T22:40:33.000Z,0,0,0,0,0,0
7310993,57226,2022-05-04T22:41:33.000Z,0,0,0,0,0,0
7311025,57226,2022-05-04T22:42:33.000Z,0,0,0,0,0,0
7311057,57226,2022-05-04T22:43:33.000Z,0,0,0,0,0,0
7311089,57226,2022-05-04T22:44:33.000Z,0,0,0,0,0,0
7311121,57226,2022-05-04T22:45:33.000Z,0,0,0,0,0,0
