id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7,chan_8,chan_9
4020997,89776,2021-12-21T17:31:43.000Z,0,0,0,0,0,0,0,0,0,0
4021017,89776,2021-12-21T17:32:43.000Z,0,0,0,0,0,0,0,0,0,0
4021037,89776,2021-12-21T17:33:43.000Z,0,0,0,0,0,0,0,0,0,0
4021057,89776,2021-12-21T17:34:43.000Z,0,0,0,0,0,0,0,0,0,0
4021077,89776,2021-12-21T17:35:43.000Z,0,0,0,0,0,0,0,0,0,0
4021097,89776,2021-12-21T17:36:43.000Z,0,0,0,0,0,0,0,0,0,0
4021117,89776,2021-12-21T17:37:43.000Z,0,0,0,0,0,0,0,0,0,0
4021137,89776,2021-12-21T17:38:43.000Z,0,0,0,0,0,0,0,0,0,0
4021157,89776,2021-12-21T17:39:43.000Z,0,0,0,0,0,0,0,0,0,0
4021177,89776,2021-12-21T17:40:43.000Z,0,0,0,0,0,0,0,0,0,0
4021197,89776,2021-12-21T17:41:43.000Z,0,0,0,0,0,0,0,0,0,0
4021217,89776,2021-12-21T17:42:43.000Z,0,0,0,0,0,0,0,0,0,0
4021237,89776,2021-12-21T17:43:43.000Z,0,0,0,0,0,0,0,0,0,0
4021257,89776,2021-12-21T17:44:43.000Z,0,0,0,0,0,0,0,0,0,0
4021277,89776,2021-12-21T17:45:43.000Z,0,0,0,0,0,0,0,0,0,0
4021297,89776,2021-12-21T17:46:43.000Z,0,0,0,0,0,0,0,0,0,0
4021317,89776,2021-12-21T17:47:43.000Z,0,0,0,0,0,0,0,0,0,0
4021333,89776,2021-12-21T17:48:43.000Z,0,0,0,0,0,0,0,0,0,0
4021353,89776,2021-12-21T17:49:43.000Z,0,0,0,0,0,0,0,0,0,0
4021373,89776,2021-12-21T17:50:43.000Z,0,0,0,0,0,0,0,0,0,0
4021393,89776,2021-12-21T17:51:43.000Z,0,0,0,0,0,0,0,0,0,0
4021413,89776,2021-12-21T17:52:43.000Z,0,0,0,0,0,0,0,0,0,0
4021433,89776,2021-12-21T17:53:43.000Z,0,0,0,0,0,0,0,0,0,0
4021453,89776,2021-12-21T17:54:43.000Z,0,0,0,0,0,0,0,0,0,0
4021473,89776,2021-12-21T17:55:43.000Z,0,0,0,0,0,0,0,0,0,0
4021493,89776,2021-12-21T17:56:43.000Z,0,0,0,0,0,0,0,0,0,0
4021513,89776,2021-12-21T17:57:43.000Z,0,0,0,0,0,0,0,0,0,0
4021533,89776,2021-12-21T17:58:43.000Z,0,0,0,0,0,0,0,0,0,0
4021553,89776,2021-12-21T17:59:43.000Z,0,0,0,0,0,0,0,0,0,0
4021573,89776,2021-12-21T18:00:43.000Z,0,0,0,0,0,0,0,0,0,0
4021593,89776,2021-12-21T18:01:43.000Z,0,0,0,0,0,0,0,0,0,0
