Code_Year_Month,Postal_Code,Customer_Class,Total_Gallons
201205,78747,Irrigation - Multi-Family,935600
201205,78747,Multi-Family,7457600
201205,78747,Irrigation - Residential,190300
201205,78747,Residential,30830300
201205,78748,Multi-Family,15564500
201205,78748,Residential,87972800
201205,78748,Irrigation - Multi-Family,5547800
201205,78748,Irrigation - Residential,26000
201205,78749,Multi-Family,16355600
201205,78749,Residential,89234200
201205,78749,Irrigation - Residential,7600
201205,78749,Irrigation - Multi-Family,5268500
201205,78750,Irrigation - Residential,13700
201205,78750,Irrigation - Multi-Family,1809900
201205,78750,Residential,73753000
201205,78750,Multi-Family,15307000
201205,78751,Multi-Family,13754600
201205,78751,Residential,18243900
201205,78751,Irrigation - Multi-Family,314400
201205,78751,Irrigation - Residential,122400
201205,78752,Irrigation - Multi-Family,68200
201205,78752,Multi-Family,18550200
201205,78752,Residential,14668200
201205,78753,Multi-Family,44513000
201205,78753,Irrigation - Residential,
201205,78753,Irrigation - Multi-Family,3530900
201205,78753,Residential,47957500
201205,78754,Residential,23885000
201205,78754,Irrigation - Residential,
201205,78754,Irrigation - Multi-Family,1530500
201205,78754,Multi-Family,15432900
201205,78756,Residential,14325700
201205,78756,Multi-Family,6828800
201205,78756,Irrigation - Residential,89400
201205,78756,Irrigation - Multi-Family,69000
201205,78757,Irrigation - Residential,77900
201205,78757,Multi-Family,14808700
201205,78757,Residential,43611700
201205,78757,Irrigation - Multi-Family,61600
201205,78758,Residential,48609800
201205,78758,Multi-Family,50846500
201205,78758,Irrigation - Multi-Family,2858700
201205,78758,Irrigation - Residential,26100
201205,78759,Residential,90258300
201205,78759,Irrigation - Multi-Family,1102200
201205,78759,Irrigation - Residential,107100
201205,78759,Multi-Family,36305100
201206,78613,Multi-Family,23000
201206,78613,Irrigation - Multi-Family,78000
201206,78617,Residential,22493600
201206,78617,Multi-Family,3314800
201206,78652,Residential,906500
201206,78652,Irrigation - Residential,53100
201206,78652,Multi-Family,18200
201206,78653,Residential,2700900
201206,78653,Multi-Family,236900
201206,78660,Multi-Family,3199200
201206,78660,Residential,10537600
201206,78660,Irrigation - Residential,21800
